begin_ymd	dmID	cycle	phase	begin	end	duration_h	duration_m	magnitude	min	max	HIN_TEMP_PUP	HIN_RH_PUP	HIN_VPD_PUP	HIN_TEMP_BUP	HIN_RH_BUP	HIN_VPD_BUP	SER_TEMP	SER_RH	SER_VPD	SER_P	SER_RAD	year	HIN_TEMP_PUP_rel	HIN_RH_PUP_rel	HIN_VPD_PUP_rel	HIN_TEMP_BUP_rel	HIN_RH_BUP_rel	HIN_VPD_BUP_rel	SER_TEMP_rel	SER_RH_rel	SER_VPD_rel	HIN_TEMP_BUP_2	HIN_RH_BUP_2	HIN_VPD_BUP_2	HIN_TEMP_PUP_2	HIN_RH_PUP_2	HIN_VPD_PUP_2	SER_TEMP_2	SER_RH_2	SER_VPD_2	HIN_TEMP_PUP_3	HIN_RH_PUP_3	HIN_VPD_PUP_3	SM10	SM20	SM30	SM50	SM70	SM130	SM200	SMmean_up	SMmean_mid	SMmean_deep	SMmean	ST10	ST20	ST30	ST50	ST70	ST130	ST200	STmean_up	STmean_mid	STmean_deep	STmean	obs_1	obs_2
2014-04-25	mean_dt_scaled	35	1	25/4/14 7:00	25/4/14 15:00	8	480	3.631668468	-1.961602887	1.670065582	NA	NA	NA	NA	NA	NA	18.6875	62.35	1.015382128	NA	570.1625	2014	NA	NA	NA	NA	NA	NA	0.692993367	0.511376564	0.210218296	NA	NA	NA	NA	NA	NA	17.02748875	65.93241552	0.869117158	17.02748875	65.93241552	0.869117158	10.29635417	6.790625	10.353125	7.593458333	6.083	6.5690625	5.6305625	9.146701389	6.838229167	6.0998125	7.540093055	10.6175	10.36333333	10.20208333	9.792291667	9.279583333	8.688125	7.690791667	10.39430556	9.5359375	8.189458334	9.475340972	1	NA
2014-04-26	mean_dt_scaled	36	1	26/4/14 7:00	26/4/14 17:00	10	600	2.295646682	-1.220138404	1.075508278	NA	NA	NA	NA	NA	NA	18.9	64.17	0.940516497	NA	497.99	2014	NA	NA	NA	NA	NA	NA	0.696517413	0.532081911	0.195652617	NA	NA	NA	NA	NA	NA	17.21234261	67.65113186	0.802357696	17.21234261	67.65113186	0.802357696	9.987750001	6.747066667	10.18666667	7.577533333	6.062266667	6.566466667	5.6374	8.973827778	6.8199	6.101933333	7.466081111	11.1295	10.7735	10.49716667	10.04433333	9.463333333	8.85325	7.785283334	10.80005556	9.753833333	8.319266667	9.741952222	1	NA
2014-04-27	mean_dt_scaled	37	1	27/4/14 7:00	27/4/14 17:00	10	600	2.076019115	-0.948279025	1.12774009	NA	NA	NA	NA	NA	NA	17.21	67.66	0.71292788	NA	412.39	2014	NA	NA	NA	NA	NA	NA	0.668490879	0.571786121	0.151373517	NA	NA	NA	NA	NA	NA	15.74221077	70.9469121	0.59941152	15.74221077	70.9469121	0.59941152	9.723500001	6.710366667	9.9685	7.5571	6.0453	6.567083333	5.643433334	8.800788889	6.8012	6.105258333	7.392253056	11.54616667	11.12666667	10.75933333	10.27083333	9.67	9.0125	7.8711	11.14405556	9.970416668	8.4418	9.981287222	1	NA
2014-04-28	mean_dt_scaled	38	1	28/4/14 7:00	28/4/14 16:00	9	540	3.017226016	-1.547361107	1.469864909	NA	NA	NA	NA	NA	NA	17.64444444	58.3	1.014200711	NA	610.9555556	2014	NA	NA	NA	NA	NA	NA	0.675695596	0.465301479	0.209988443	NA	NA	NA	NA	NA	NA	16.12013421	62.10779948	0.86806366	16.12013421	62.10779948	0.86806366	9.490092593	6.670185185	9.751111111	7.532777778	6.028444444	6.562777778	5.648944445	8.63712963	6.780611111	6.105861111	7.320793519	11.34231482	11.10537037	10.90203704	10.40055556	9.845185185	9.184074074	7.956962963	11.11657407	10.12287037	8.570518519	10.0546463	1	NA
2014-04-29	mean_dt_scaled	39	1	29/4/14 7:00	29/4/14 17:00	10	600	2.369814585	-1.289941371	1.079873214	NA	NA	NA	NA	NA	NA	18.3	49.66	1.253190978	NA	571.99	2014	NA	NA	NA	NA	NA	NA	0.686567164	0.367007964	0.25648582	NA	NA	NA	NA	NA	NA	16.69040231	53.94861858	1.081176959	16.69040231	53.94861858	1.081176959	9.236916667	6.6075	9.5015	7.497466667	6.0096	6.554833333	5.654183333	8.448638889	6.753533334	6.104508333	7.236868056	11.03008334	10.99783333	10.92433333	10.4185	9.934333333	9.335083334	8.0435	10.98408333	10.17641667	8.689291667	10.05334583	1	NA
2014-04-30	mean_dt_scaled	40	1	30/4/14 7:00	30/4/14 17:00	10	600	2.27326175	-1.30572362	0.96753813	NA	NA	NA	NA	NA	NA	18.28	46.9	1.28441083	NA	528.97	2014	NA	NA	NA	NA	NA	NA	0.686235489	0.335608646	0.262559881	NA	NA	NA	NA	NA	NA	16.6730043	51.34221358	1.109016443	16.6730043	51.34221358	1.109016443	9.004083334	6.55	9.2315	7.4648	5.986866667	6.547666667	5.656566667	8.261861111	6.725833334	6.102116667	7.153129445	10.94041667	10.93066667	10.85283333	10.40816667	9.951333333	9.436416667	8.129	10.90797222	10.17975	8.782708333	10.05192639	1	NA
2014-05-01	mean_dt_scaled	41	1	1/5/14 7:00	1/5/14 16:00	9	540	1.924372995	-0.722732041	1.201640954	NA	NA	NA	NA	NA	NA	15.38888889	61.77777778	0.747180197	NA	610.8777778	2014	NA	NA	NA	NA	NA	NA	0.638290031	0.504866641	0.158037567	NA	NA	NA	NA	NA	NA	14.15802531	65.39203766	0.629955125	14.15802531	65.39203766	0.629955125	8.832962963	6.495740741	8.994629629	7.433407407	5.966555556	6.53887037	5.660685185	8.107777778	6.699981482	6.099777778	7.083038889	11.09712963	11.04740741	10.89907408	10.41259259	9.958148148	9.503333334	8.20462963	11.01453704	10.18537037	8.853981482	10.11762037	1	NA
2014-05-02	mean_dt_scaled	42	1	2/5/14 8:00	2/5/14 15:00	7	420	1.183678909	-0.709377047	0.474301862	NA	NA	NA	NA	NA	NA	8.8	55.14285714	0.536522822	NA	449.1857143	2014	NA	NA	NA	NA	NA	NA	0.529021559	0.42938404	0.117052569	NA	NA	NA	NA	NA	NA	8.426347583	59.12635275	0.442106939	8.426347583	59.12635275	0.442106939	8.658333334	6.434047619	8.785952381	7.416904762	5.945952381	6.520476191	5.668190477	7.959444445	6.681428571	6.094333334	7.016506349	9.896190477	10.2497619	10.45095238	10.38880952	9.959523809	9.562619048	8.283809524	10.19896825	10.17416667	8.923214286	9.808801587	1	NA
2014-05-03	mean_dt_scaled	43	1	3/5/14 7:00	3/5/14 18:00	11	660	2.028266381	-1.101934223	0.926332157	NA	NA	NA	NA	NA	NA	11.80909091	44.9	0.86333736	NA	539.8181818	2014	NA	NA	NA	NA	NA	NA	0.578923564	0.312855518	0.180636828	NA	NA	NA	NA	NA	NA	11.04395726	49.4535143	0.733535227	11.04395726	49.4535143	0.733535227	8.498257576	6.391090909	8.604848485	7.38830303	5.912363636	6.507045455	5.668772727	7.83139899	6.650333333	6.087909091	6.954032323	9.122878788	9.442727273	9.607272727	9.874242424	9.724090909	9.56719697	8.418181819	9.390959596	9.799166667	8.992689394	9.393940657	1	NA
2014-05-04	mean_dt_scaled	44	1	4/5/14 5:00	4/5/14 19:00	14	840	1.382471642	-0.680292957	0.702178685	NA	NA	NA	NA	NA	NA	8.757142857	61.55714286	0.459715443	NA	212.8785714	2014	NA	NA	NA	NA	NA	NA	0.528310827	0.502356574	0.102109108	NA	NA	NA	NA	NA	NA	8.389066134	65.18368116	0.373615974	8.389066134	65.18368116	0.373615974	8.366821429	6.351309524	8.456904762	7.369071429	5.883857143	6.487976191	5.672476191	7.725011905	6.626464286	6.080226191	6.902011905	8.88327381	9.1525	9.294761905	9.559761905	9.461428571	9.460952381	8.452976191	9.110178571	9.510595238	8.956964286	9.184339286	1	NA
2014-05-05	mean_dt_scaled	45	1	5/5/14 7:00	5/5/14 16:00	9	540	1.748434241	-0.861876275	0.886557967	NA	NA	NA	NA	NA	NA	11.76666667	54.63333333	0.674137898	NA	481.4222222	2014	NA	NA	NA	NA	NA	NA	0.578220011	0.42358741	0.14382663	NA	NA	NA	NA	NA	NA	11.00705239	58.64518413	0.564821571	11.00705239	58.64518413	0.564821571	8.246222222	6.315592593	8.343333333	7.353407407	5.856666667	6.476907407	5.673611111	7.635049383	6.605037037	6.075259259	6.858108642	8.448981482	8.702592592	8.854074074	9.149074074	9.244814815	9.342870371	8.514722222	8.668549383	9.196944445	8.928796297	8.905141975	1	NA
2014-05-06	mean_dt_scaled	46	1	6/5/14 5:00	6/5/14 18:00	13	780	2.335482813	-1.484217092	0.851265721	NA	NA	NA	NA	NA	NA	13.61538462	57.36923077	0.751812842	NA	291.8615385	2014	NA	NA	NA	NA	NA	NA	0.608878683	0.454712523	0.158938883	NA	NA	NA	NA	NA	NA	12.61525306	61.22882788	0.634086164	12.61525306	61.22882788	0.634086164	8.115461539	6.269974359	8.178589744	7.330025641	5.822384615	6.46174359	5.672628205	7.52134188	6.576205128	6.067185897	6.80155406	8.87	8.963589744	9.036923077	9.06025641	9.071666667	9.207628205	8.530641026	8.956837607	9.065961539	8.869134615	8.963263889	1	NA
2014-05-07	mean_dt_scaled	47	1	7/5/14 8:00	7/5/14 13:00	5	300	2.230617423	-0.633442649	1.597174775	NA	NA	NA	NA	NA	NA	14.3	81.74	0.320181958	NA	378.98	2014	NA	NA	NA	NA	NA	NA	0.620232172	0.731968145	0.074961805	NA	NA	NA	NA	NA	NA	13.21080032	84.24335503	0.249190651	13.21080032	84.24335503	0.249190651	8.088266667	6.310466667	8.059333333	7.32	5.807533333	6.462	5.679933333	7.486022223	6.563766667	6.070966667	6.784828889	9.973166667	9.692333333	9.594	9.326	9.074666667	9.114666667	8.538666667	9.753166667	9.200333334	8.826666667	9.309366667	1	NA
2014-05-08				8/5/14 7:00	8/5/14 14:30			2.461347491	-2.076438444	0.384909046	NA	NA	NA	NA	NA	NA	13.57	73.49	0.43	NA	331.1	2014	NA	NA	NA	NA	NA	NA	0.61	0.64	0.1	NA	NA	NA	NA	NA	NA	12.58	76.45	0.35	12.58	76.45	0.35	8.73	6.29	7.98	7.3	5.79	6.45	5.69	7.67	6.54	6.07	6.85	10.02	9.94	9.84	9.55	9.24	9.11	8.54	9.93	9.4	8.82	9.44	1	NA
2014-05-09	mean_dt_scaled	49	1	9/5/14 10:00	9/5/14 16:00	6	360	1.169490778	-0.009402571	1.160088206	NA	NA	NA	NA	NA	NA	14.58333333	85.21666667	0.252388607	NA	244.4833333	2014	NA	NA	NA	NA	NA	NA	0.624930901	0.771520667	0.061772092	NA	NA	NA	NA	NA	NA	13.45727213	87.52654394	0.18873771	13.45727213	87.52654394	0.18873771	9.252222223	6.366055556	7.887166667	7.24	5.747833333	6.44125	5.702944445	7.835148148	6.493916667	6.072097222	6.903863426	10.24194445	10.02666667	9.898888889	9.652222222	9.338333333	9.157638889	8.547222223	10.05583333	9.495277778	8.852430556	9.526645833	1	NA
2014-05-10	mean_dt_scaled	50	1	10/5/14 8:00	10/5/14 16:00	8	480	2.685910652	-2.312723321	0.373187332	NA	NA	NA	NA	NA	NA	13.8125	70.1125	0.510832864	NA	373.85	2014	NA	NA	NA	NA	NA	NA	0.612147595	0.599687144	0.112054392	NA	NA	NA	NA	NA	NA	12.78672383	73.26292959	0.419198593	12.78672383	73.26292959	0.419198593	9.435104167	6.325458333	7.846291667	7.24	5.744958333	6.44	5.701104167	7.868951389	6.492479167	6.070552083	6.916489931	9.999166668	10.09125	10.00416667	9.761666667	9.4325	9.2059375	8.5559375	10.03152778	9.597083334	8.8809375	9.556017362	1	NA
2014-05-11	mean_dt_scaled	51	1	11/5/14 4:00	11/5/14 16:00	12	720	2.764771642	-1.452357479	1.312414163	NA	NA	NA	NA	NA	NA	11.075	85.10833333	0.205897777	NA	193.6333333	2014	NA	NA	NA	NA	NA	NA	0.566749586	0.770288207	0.052726946	NA	NA	NA	NA	NA	NA	10.40537121	87.4242394	0.147280732	10.40537121	87.4242394	0.147280732	9.559722223	6.3535	7.734972222	7.210388889	5.711833333	6.422763889	5.708527778	7.882731482	6.461111111	6.065645833	6.911119676	10.16840278	10.14055556	10.01513889	9.776805555	9.463194445	9.250486111	8.572847223	10.10803241	9.62	8.911666667	9.602712963	1	NA
